slug,type,title,city,priceEuros,priceCents,status,area,land,rooms,beds,dpeClass,photoCount,photoUrls
gisors-maison-5971,maison,Maison — 125 m² — Gisors,Gisors,189500,18950000,a_vendre,125,1500,6,3,,13,/uploads/06065842-366d-4180-9559-a10d67b9d60e.jpeg|/uploads/53eea71f-de01-4bb9-ad58-f6c6c5bdbcd0.jpg|/uploads/c8df1652-a695-425a-852d-720f5e124a1e.jpg|/uploads/f0c5f46c-5969-4d1d-939b-7d9447b76e06.jpg|/uploads/d1b64171-c7c7-4d1d-a36c-40ba534bb0c2.jpg|/uploads/d2f716c0-94f6-4198-b541-eb180ac2b237.jpg|/uploads/8ef8d949-d97c-4f8a-95cb-c983f9bf7da6.jpg|/uploads/47373ce9-87fb-4c11-9bed-2262ffe9afdf.jpg|/uploads/163473a4-7b7f-42b8-8af4-99a91116926d.jpg|/uploads/bbd2bd7d-b70a-4c8e-93e6-1b8052d7884a.jpg|/uploads/f2a77bb3-36c9-4e2f-8625-7f6b3360b837.jpg|/uploads/105ffce4-4487-4e46-8b35-9ddbb5d0d130.jpg|/uploads/2a50e380-f7ac-46e8-9320-e9fc0d9052f1.jpg
gisors-maison-6044,maison,Maison — 93 m² — Gisors,Gisors,195000,19500000,a_vendre,93,1022,6,3,,8,/uploads/2b4bdbf7-2dcb-47a0-8a4e-adc3670d5d3f.jpg|/uploads/db2256b8-5859-4607-99d2-f816ab791d68.jpg|/uploads/60f18427-f1e3-4a36-943e-8f34ffce86ca.jpg|/uploads/f9fb75ea-d3a6-4539-b853-ea8b819eeb03.jpg|/uploads/67ab0072-8ab2-4950-b638-a593620de2b8.jpg|/uploads/38cab926-77b8-49ce-8bad-ab68edbdd8dd.jpg|/uploads/af79dee6-6260-448f-90f7-f3bcdab0e04d.jpg|/uploads/ac06d2eb-8ff0-4374-b4e1-80c45cd08060.jpg
gisors-maison-6070,maison,Maison — 89 m² — Gisors,Gisors,195000,19500000,a_vendre,89,1133,5,3,,9,/uploads/f76b4245-ddff-4afc-9d77-e9e6be6a7242.jpeg|/uploads/35036d94-de66-4841-9610-31bbddcc4f52.jpeg|/uploads/1e439dd9-4ae9-4bf9-a0da-8f22fab6d4ef.jpg|/uploads/0e068320-82dd-44b5-b096-a32e0d52ce21.jpg|/uploads/e5dce9c8-df3e-47da-b128-c3a6b894c850.jpg|/uploads/8c570313-4c83-47e6-8133-b1b71f63e301.jpg|/uploads/389d2bc5-b6e0-4d9d-86ed-33fdcabe3677.jpg|/uploads/104a4670-f4b6-4712-9fc6-d02ef3230114.jpg|/uploads/8b5f12f9-443e-47ea-9e2d-291bd9172381.jpg
gisors-maison-5986,maison,Maison — 67 m² — Gisors,Gisors,199500,19950000,a_vendre,67,489,4,2,,12,/uploads/df5438d3-a899-4457-92a4-28270d88e563.jpg|/uploads/ea1c4b34-a737-4906-a753-37157813a182.jpg|/uploads/f7bfbc76-85c4-4370-8bda-0effd2b92205.jpg|/uploads/2564ea1c-a304-4415-816f-faed721e6d29.jpg|/uploads/af02ea74-d95c-4650-8aef-146096177eea.jpg|/uploads/17f0bb48-3fcf-43ff-a181-fcbbd94eb4c8.jpg|/uploads/1c965ded-8a57-475b-8222-1d3a5547e454.jpg|/uploads/0d3c325f-87dd-4721-b9e6-0ec5258a279e.jpg|/uploads/add9361a-f3f1-4dff-96ea-fb2be5bc4b3c.jpg|/uploads/d6a02aab-f30c-42f7-aa92-25bf0966a3d7.jpg|/uploads/109c88c0-138d-47ef-8d0d-944a1d646608.jpg|/uploads/58b31cd3-eacf-4db9-9e51-fb4c41c53506.jpg
gisors-maison-5827,maison,Maison — 71 m² — Gisors,Gisors,210000,21000000,a_vendre,71,10226,4,2,,10,/uploads/35f0647b-5259-441a-90ce-1ff4cb38c9de.jpg|/uploads/bce72eab-936e-4518-a7e3-6773ab961d3f.jpg|/uploads/af760736-761e-4664-965a-d82c4b65e508.jpg|/uploads/5d6d6c42-a5b3-4f6c-9266-cc12a06e6c5e.jpg|/uploads/415aa5e9-e7b2-4618-9375-943bcf99234e.jpg|/uploads/ae7d41d8-1b62-466a-8c84-f37298c0d7f4.jpg|/uploads/a6d056c1-78a2-43e9-a1e9-39ca7c4ac211.jpg|/uploads/2f41db35-0983-414c-8a3b-ef80e2c722c9.jpg|/uploads/608c0e84-3c32-45db-aa1b-5848667463f5.jpg|/uploads/eabd25c9-ec18-4e5a-b547-d8fbabb56f4a.jpg
gisors-maison-6064,maison,Maison — 113 m² — Gisors,Gisors,215000,21500000,a_vendre,113,1819,5,3,,16,/uploads/b585af07-3808-4af5-8112-f64a423ad60f.jpg|/uploads/9075dea2-b926-4ad0-97aa-34caaae1a498.jpeg|/uploads/6cb52d6d-aa9b-42c6-8bf8-9f64259d552a.jpeg|/uploads/0efa0906-7146-4940-913c-5e31ff5daae7.jpg|/uploads/08399663-a65b-4304-9127-376e0118a6c3.jpeg|/uploads/80c060dc-1237-4634-9024-97fcab73a95c.jpeg|/uploads/0847e166-f3c0-44ac-ab96-6f2ecf482989.jpeg|/uploads/5139730a-83d1-4809-87c9-d94a115573c4.jpg|/uploads/c7142ec5-2406-4c35-b2b1-5870c4f7e5de.jpeg|/uploads/b50ec81f-fba0-4027-802e-f0f8592f03f9.jpg|/uploads/ed5c21bb-4023-42ca-afaf-a1018fb1abc2.jpg|/uploads/06833a4c-5de6-49bf-b487-29e8b8e9543f.jpg|/uploads/f5aaa299-b892-40c2-a7ce-f15afdf978b8.jpg|/uploads/35cab467-ebad-4624-8f65-0a37664fd973.jpg|/uploads/bc92ea66-718f-4ead-93ea-4450f7ba504a.jpg|/uploads/4f24cc39-e3b1-490c-adee-10ae011e5f35.jpg
gisors-maison-5847,maison,Maison — 98 m² — Gisors,Gisors,219000,21900000,a_vendre,98,965,5,3,,13,/uploads/e8cc8373-69f4-4f00-b177-780fc4ffd6b0.jpg|/uploads/8bd08749-4b27-4eb1-922c-72046ab9e049.jpg|/uploads/03933568-f785-4cd5-9f14-8ee1a2f817b2.jpg|/uploads/13b7a0ff-514e-46e0-a78b-365687aabfaf.jpg|/uploads/f621a368-ddf2-4ae7-9a4b-b2dc30989574.jpg|/uploads/063abf2f-1b63-4cac-8f4e-10c7f6014738.jpg|/uploads/e064a14f-6c30-4fd5-bf0c-08e443683cd5.jpg|/uploads/69fd45a5-0327-41eb-ac01-b4057479333f.jpg|/uploads/992c02a3-23f1-48a0-9981-ba59a760e2d7.jpg|/uploads/cbf4044e-572c-464f-9675-1592869e5031.jpg|/uploads/0587edd7-1e3c-4139-9226-cb8ae1c6d2e1.jpg|/uploads/293ab44b-04a4-4942-944f-58d076888069.jpg|/uploads/f8f67491-1682-45d1-9dbd-ed37880bbff8.jpg
gisors-maison-5983,maison,Maison — 106 m² — Gisors,Gisors,221000,22100000,a_vendre,106,776,6,4,,13,/uploads/283eb27e-6b4d-45f5-babb-e111b48fa89f.jpg|/uploads/d62f0d01-9017-4034-a204-abb82f437913.jpg|/uploads/4c484cdc-4ec6-4697-b2a4-c7d725708eb7.jpg|/uploads/cee97e8b-dcf9-4f6b-9a24-692b7768d5a9.jpg|/uploads/332eef75-cae6-44bd-b3b1-97a9f5033e8c.jpg|/uploads/b8811e70-f1d1-4890-a5d4-b55a563f08df.jpg|/uploads/ad92d02f-3d90-4508-b292-dd45b806bebf.jpg|/uploads/3dc7988f-b5d0-4f62-8ade-d0855fdc669d.jpg|/uploads/25e08386-1d4d-4538-9cee-fc925438f124.jpg|/uploads/6aae15b6-c104-4742-835b-df9ac0ef0634.jpg|/uploads/d491605f-5a69-49dd-8f2f-a87667ca1bde.jpg|/uploads/aa356223-343c-45c5-b519-ba16ce3755f9.jpg|/uploads/fecf309d-5792-488a-a111-ba38be710550.jpg
gisors-maison-5976,maison,Maison — 84 m² — Gisors,Gisors,225000,22500000,a_vendre,84,1005,5,4,,10,/uploads/d82c0f59-6a22-433b-8139-a7f4ad510e37.jpg|/uploads/6d951caa-e4e4-40a2-91bc-2449b80fba5b.jpg|/uploads/bd2c19d3-0250-4922-94e8-000bae5ed50c.jpg|/uploads/a29ef319-21e2-41ab-b4ce-4e9b28196158.jpg|/uploads/6ebeee48-16a4-49c0-81ae-b95774a3363c.jpg|/uploads/6edab42b-6e2a-466e-b8c6-eefe5cd3fafb.jpg|/uploads/2ba29c1c-c64b-4cd8-8eb2-adf40a6ea550.jpg|/uploads/1b060103-7e16-43b8-ae0b-9f90852b00eb.jpg|/uploads/2659d32f-fd48-4ba1-833e-1620f7da57ff.jpg|/uploads/d66ecc00-3c4e-4299-8952-8258973151e0.jpg
gisors-maison-6025,maison,Maison — 112 m² — Gisors,Gisors,235000,23500000,a_vendre,112,488,5,3,,15,/uploads/967c2fc0-8fc3-47e4-9668-1963d394a01b.jpeg|/uploads/694ea4b3-1c69-40ce-ac24-7cc80528b3ea.jpeg|/uploads/a0e5a2e6-507f-453e-a8f7-025a2f160890.jpeg|/uploads/2f6aca7d-78e3-4491-a2bc-84acf01d1734.jpeg|/uploads/161b82e7-8461-4b22-8bcf-c3e45043774d.jpeg|/uploads/f2e7cd13-0716-4b9d-869b-5af7bf7563a4.jpeg|/uploads/f75b6d18-1d27-4ddd-8eef-28ac9b77a444.jpeg|/uploads/b37282d9-1bbd-4c17-94df-2379a5d4dc90.jpeg|/uploads/375be9e7-4c10-43b3-a794-5a4587171d3e.jpeg|/uploads/73beca6e-d2ef-492e-bdd5-149e1a3974e9.jpeg|/uploads/f7152b28-bed3-4e32-b97e-76917f8c3cf9.jpeg|/uploads/0c55058c-bf93-4c96-86a2-8f4ac7bd1892.jpg|/uploads/8c16dce4-0e1c-4be2-b392-8f4865b99c99.jpeg|/uploads/de0089e8-dac2-4446-a60a-5cb909b26e86.jpeg|/uploads/ebb9f3da-d1f7-4a3f-9b7c-14477e6348a6.jpeg
